c16.60, WORDCOUNT, WordNet Domains 3.2, finance
c18.36, WORDCOUNT, GDELT GKG Themes, ECON_DEVELOPMENTORGS
c18.42, WORDCOUNT, GDELT GKG Themes, ECON_COST_OF_LIVING
c18.47, WORDCOUNT, GDELT GKG Themes, ECON_TRADE_DISPUTE
c18.50, WORDCOUNT, GDELT GKG Themes, SHORTAGE
c18.53, WORDCOUNT, GDELT GKG Themes, ECON_UNIONS
c18.54, WORDCOUNT, GDELT GKG Themes, ECON_BANKRUPTCY
c18.57, WORDCOUNT, GDELT GKG Themes, ECON_CURRENCY_RESERVES
c18.58, WORDCOUNT, GDELT GKG Themes, ECON_CURRENCY_EXCHANGE_RATE
c18.59, WORDCOUNT, GDELT GKG Themes, ECON_STOCKMARKET
c18.60, WORDCOUNT, GDELT GKG Themes, ECON_EARNINGSREPORT
c18.61, WORDCOUNT, GDELT GKG Themes, ECON_IPO
c18.62, WORDCOUNT, GDELT GKG Themes, ECON_HOUSING_PRICES
c18.63, WORDCOUNT, GDELT GKG Themes, ECON_INTEREST_RATES
c18.66, WORDCOUNT, GDELT GKG Themes, STRIKE
c18.68, WORDCOUNT, GDELT GKG Themes, FUELPRICES
c18.83, WORDCOUNT, GDELT GKG Themes, EVACUATION
c3.1, WORDCOUNT, Lexicoder Sentiment Dictionary, NEGATIVE
c3.2, WORDCOUNT, Lexicoder Sentiment Dictionary, POSITIVE
c3.3, WORDCOUNT, Lexicoder Sentiment Dictionary, NEG_NEGATIVE
c3.4, WORDCOUNT, Lexicoder Sentiment Dictionary, NEG_POSITIVE
c4.1, WORDCOUNT, Lexicoder Topic Dictionaries, MACROECONOMICS
c4.16, WORDCOUNT, Lexicoder Topic Dictionaries, FINANCE
c41.1, WORDCOUNT, Central Bank Financial Stability Report Sentiment, POSITIVE
c6.1, WORDCOUNT, Loughran and McDonald Financial Sentiment Dictionaries, Litigious
c6.2, WORDCOUNT, Loughran and McDonald Financial Sentiment Dictionaries, ModalStrong
c6.3, WORDCOUNT, Loughran and McDonald Financial Sentiment Dictionaries, ModalWeak
c6.4, WORDCOUNT, Loughran and McDonald Financial Sentiment Dictionaries, Negative
c6.5, WORDCOUNT, Loughran and McDonald Financial Sentiment Dictionaries, Positive
c6.6, WORDCOUNT, Loughran and McDonald Financial Sentiment Dictionaries, Uncertainty
v10.1, SCOREDVALUE, SentiWordNet 3.0, Positive (Scored Value)
v10.2, SCOREDVALUE, SentiWordNet 3.0, Negative (Scored Value)
v11.1, SCOREDVALUE, SentiWords, Polarity (Scored Value)
v20.1, SCOREDVALUE, ML-SENTICON (English), Level1Positive (Scored Value)
v20.10, SCOREDVALUE, ML-SENTICON (English), Level5Negative (Scored Value)
v20.11, SCOREDVALUE, ML-SENTICON (English), Level6Positive (Scored Value)
v20.12, SCOREDVALUE, ML-SENTICON (English), Level6Negative (Scored Value)
v20.13, SCOREDVALUE, ML-SENTICON (English), Level7Positive (Scored Value)
v20.14, SCOREDVALUE, ML-SENTICON (English), Level7Negative (Scored Value)
v20.15, SCOREDVALUE, ML-SENTICON (English), Level8Positive (Scored Value)
v20.16, SCOREDVALUE, ML-SENTICON (English), Level8Negative (Scored Value)
v20.2, SCOREDVALUE, ML-SENTICON (English), Level1Negative (Scored Value)
v20.3, SCOREDVALUE, ML-SENTICON (English), Level2Positive (Scored Value)
v20.4, SCOREDVALUE, ML-SENTICON (English), Level2Negative (Scored Value)
v20.5, SCOREDVALUE, ML-SENTICON (English), Level3Positive (Scored Value)
v20.6, SCOREDVALUE, ML-SENTICON (English), Level3Negative (Scored Value)
v20.7, SCOREDVALUE, ML-SENTICON (English), Level4Positive (Scored Value)
v20.8, SCOREDVALUE, ML-SENTICON (English), Level4Negative (Scored Value)
v20.9, SCOREDVALUE, ML-SENTICON (English), Level5Positive (Scored Value)
v21.1, SCOREDVALUE, Hedonometer (English), Happiness (Scored Value)
v26.1, SCOREDVALUE, VADER Sentiment Lexicon (Bag of Words Mode), Valence (Scored Value)
v42.10, SCOREDVALUE, Extended Moral Foundations Dictionary (eMFD), authority_sent
v42.11, SCOREDVALUE, Extended Moral Foundations Dictionary (eMFD), sanctity_sent
v42.2, SCOREDVALUE, Extended Moral Foundations Dictionary (eMFD), care_p
v42.3, SCOREDVALUE, Extended Moral Foundations Dictionary (eMFD), fairness_p
v42.4, SCOREDVALUE, Extended Moral Foundations Dictionary (eMFD), loyalty_p
v42.5, SCOREDVALUE, Extended Moral Foundations Dictionary (eMFD), authority_p
v42.6, SCOREDVALUE, Extended Moral Foundations Dictionary (eMFD), sanctity_p
v42.7, SCOREDVALUE, Extended Moral Foundations Dictionary (eMFD), care_sent
v42.8, SCOREDVALUE, Extended Moral Foundations Dictionary (eMFD), fairness_sent
v42.9, SCOREDVALUE, Extended Moral Foundations Dictionary (eMFD), loyalty_sent
